TF	M1	M2	M3	M4	M5	M6	M7
AHR	0.00E+00	2.03E-02	0.00E+00	6.18E-01	0.00E+00	3.44E-01	9.60E-03
ALX1	0.00E+00	0.00E+00	9.92E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ALX3	5.54E-17	6.85E-01	0.00E+00	0.00E+00	0.00E+00	3.10E-01	0.00E+00
AR	6.79E-32	5.36E-02	7.16E-01	1.64E-01	0.00E+00	6.06E-02	0.00E+00
ARID5A	0.00E+00	2.30E-32	0.00E+00	9.58E-01	0.00E+00	0.00E+00	1.47E-07
ARID5B	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ARNT	0.00E+00	3.06E-02	0.00E+00	4.97E-01	1.28E-01	3.33E-01	7.09E-03
ARNT2	1.55E-31	3.23E-02	1.85E-01	0.00E+00	0.00E+00	4.59E-01	3.20E-01
ARNTL	0.00E+00	0.00E+00	4.85E-02	7.45E-01	0.00E+00	0.00E+00	1.96E-01
ARNTL2	0.00E+00	0.00E+00	1.59E-01	3.24E-01	0.00E+00	0.00E+00	5.12E-01
ASCL1	0.00E+00	0.00E+00	0.00E+00	9.81E-01	0.00E+00	0.00E+00	1.02E-02
ATF1	2.53E-19	3.62E-02	1.57E-01	1.78E-01	0.00E+00	2.98E-01	3.28E-01
ATF2	4.90E-01	0.00E+00	0.00E+00	2.80E-01	2.14E-01	0.00E+00	1.07E-02
ATF3	3.47E-01	0.00E+00	2.13E-02	3.15E-01	2.72E-01	0.00E+00	4.18E-02
ATF4	4.77E-01	8.72E-02	1.84E-02	1.00E-01	1.76E-01	9.96E-02	3.72E-02
ATF5	5.34E-01	0.00E+00	0.00E+00	2.72E-01	1.84E-01	0.00E+00	5.03E-03
ATF6	3.84E-01	2.74E-01	0.00E+00	1.10E-01	6.73E-02	1.52E-01	1.48E-03
ATF6B	4.63E-01	1.03E-01	0.00E+00	2.69E-01	8.81E-02	5.63E-02	3.93E-03
BACH1	4.08E-01	4.14E-01	1.27E-02	8.85E-02	2.50E-02	4.71E-02	0.00E+00
BACH2	4.57E-01	1.74E-01	3.28E-01	3.04E-81	3.20E-02	0.00E+00	0.00E+00
BARX1	6.56E-01	9.97E-73	0.00E+00	0.00E+00	3.38E-01	0.00E+00	0.00E+00
BATF	0.00E+00	0.00E+00	0.00E+00	9.73E-01	0.00E+00	0.00E+00	0.00E+00
BATF3	1.28E-02	8.67E-01	0.00E+00	0.00E+00	0.00E+00	1.12E-01	0.00E+00
BBX	4.19E-01	1.82E-88	1.34E-01	1.74E-01	1.27E-01	0.00E+00	1.32E-01
BCL6	2.66E-01	2.40E-01	0.00E+00	9.06E-02	1.98E-01	2.01E-01	6.18E-12
BCL6B	0.00E+00	0.00E+00	3.11E-01	0.00E+00	0.00E+00	0.00E+00	6.84E-01
BDP1	0.00E+00	0.00E+00	2.83E-01	2.01E-01	0.00E+00	6.14E-04	5.13E-01
BHLHE22	0.00E+00	3.13E-58	0.00E+00	9.90E-01	0.00E+00	0.00E+00	0.00E+00
BHLHE40	0.00E+00	0.00E+00	0.00E+00	5.00E-01	4.86E-01	2.99E-13	1.02E-02
BHLHE41	4.73E-24	2.86E-21	2.59E-02	0.00E+00	0.00E+00	9.02E-01	6.49E-02
CDC5L	0.00E+00	0.00E+00	3.33E-01	0.00E+00	0.00E+00	0.00E+00	6.43E-01
CEBPB	3.17E-01	2.84E-01	0.00E+00	0.00E+00	2.26E-01	1.71E-01	0.00E+00
CEBPD	2.19E-01	4.28E-01	0.00E+00	0.00E+00	1.50E-01	2.00E-01	0.00E+00
CEBPG	7.11E-01	3.41E-69	0.00E+00	7.74E-02	2.05E-01	0.00E+00	1.14E-04
CLOCK	8.16E-02	3.69E-08	1.32E-01	0.00E+00	3.22E-01	8.92E-02	3.71E-01
CREB1	8.07E-02	0.00E+00	1.69E-01	2.63E-01	1.29E-01	0.00E+00	3.56E-01
